Stát,Formální název,Kontinent,Hlavní město,Členství ve strukturách OSN,Zpochybnění svrchovanosti,Další informace
Jemen,Jemenská republika,Asie,San'á,Členský stát OSN,není,
Jihoafrická republika,Jihoafrická republika,Afrika,Pretorie (sídlo vlády)Bloemfontein (sídlo justice) Kapské Město (sídlo parlamentu),Členský stát OSN,není,
Jižní Korea,Korejská republika,Asie,Soul,Členský stát OSN,Nárokovaná Severní Koreou,Součástí Jižní Koreje je autonomní region Čedžu.Není uznávána Severní Koreou.[pozn. 9]
Jižní Súdán,Jihosúdánská republika,Afrika,Džuba,Členský stát OSN,není,Jižní Súdán je federací 10 států.
Jordánsko,Jordánské hášimovské království,Asie,Ammán,Členský stát OSN,není,
Kambodža,Kambodžské království,Asie,Phnompenh,Členský stát OSN,není,
Kamerun,Kamerunská republika,Afrika,Yaoundé,Členský stát OSN,není,
Kanada,Kanada,Severní Amerika,Ottawa,Členský stát OSN,není,Kanada je federací 10 provincii a tří spolkových teritorii. Kanada je součástí Commonwealth realm.[pozn. 1]
Kapverdy,Kapverdská republika,Afrika,Praia,Členský stát OSN,není,
Katar,Stát Katar,Asie,Dauhá,Členský stát OSN,není,
Kazachstán,Republika Kazachstán,"Evropa, Asie",Nur-Sultan,Členský stát OSN,není,
Keňa,Keňská republika,Afrika,Nairobi,Členský stát OSN,není,
Kiribati,Republika Kiribati,Oceánie,Jižní Tarawa[3],Členský stát OSN,není,
Kolumbie,Kolumbijská republika,Jižní Amerika,Bogotá,Členský stát OSN,není,
Komory,Komorský svaz,Afrika,Moroni,Členský stát OSN,není,"Komory jsou federací tří ostrovů; Ngazidja (Grande Comore), Nzwani (Anjouan) a Mwali (Mohéli)."
Konžská republika[pozn. 10],Konžská republika,Afrika,Brazzaville,Členský stát OSN,není,
Konžská demokratická republika[pozn. 11],Konžská demokratická republika,Afrika,Kinshasa,Členský stát OSN,není,
Kostarika,Kostarická republika,Severní Amerika,San José,Členský stát OSN,není,
Kuba,Kubánská republika,Severní Amerika,Havana,Členský stát OSN,není,
Kuvajt,Stát Kuvajt,Asie,Kuvajt,Členský stát OSN,není,
Kypr,Kyperská republika,Asie,Nikósie,Členský stát OSN,Neuznaný Tureckem,Členský stát EU.[pozn. 3] Severní část ostrova je de facto státem nazývaným Severní Kypr. Kyperskou republiku Turecko nazývá „Řeckou správou na Jižním Kypru“.
Kyrgyzstán,Kyrgyzská republika,Asie,Biškek,Členský stát OSN,není,
Laos,Laoská lidově demokratická republika,Asie,Vientiane,Členský stát OSN,není,
Lesotho,Lesothské království,Afrika,Maseru,Členský stát OSN,není,
Libanon,Libanonská republika,Asie,Bejrút,Členský stát OSN,není,
Libérie,Liberijská republika,Afrika,Monrovia,Členský stát OSN,není,
Libye,Libyjský stát,Afrika,Tripolis,Členský stát OSN,není,V rámci Libye byl vyhlášen samozvaný autonomní region Kyrenaika.
Lichtenštejnsko,Lichtenštejnské knížectví,Evropa,Vaduz,Členský stát OSN,není,
Litva,Litevská republika,Evropa,Vilnius,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Lotyšsko,Lotyšská republika,Evropa,Riga,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Lucembursko,Lucemburské velkovévodství,Evropa,Lucemburk,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Madagaskar,Madagaskarská republika,Afrika,Antananarivo,Členský stát OSN,není,
Maďarsko,Maďarsko,Evropa,Budapešť,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Malajsie,Malajsie,Asie,Kuala Lumpur (sídlo krále a parlamentu)Putrajaya (sídlo vlády),Členský stát OSN,není,Malajsie je federací 13 států a 3 teritorií.
Malawi,Malawiská republika,Afrika,Lilongwe,Členský stát OSN,není,
Maledivy,Maledivská republika,Asie,Male,Členský stát OSN,není,
Mali,Republika Mali,Afrika,Bamako,Členský stát OSN,není,
Malta,Maltská republika,Evropa,Valletta,Členský stát OSN,není,Členský stát EU.
Maroko,Marocké království,Afrika,Rabat,Členský stát OSN,není,"Maroko si činí nárok na území Západní Sahary, které z větší části kontroluje. Jeho nárok je napadán Saharskou arabskou demokratickou republikou."
Marshallovy ostrovy,Republika Marshallovy ostrovy,Oceánie,Majuro,Členský stát OSN,není,Přidružený stát USA.
Mauricius,Mauricijská republika,Afrika,Port Louis,Členský stát OSN,není,Mauricius má jeden autonomní ostrov; Rodrigues.
Mauritánie,Mauritánská islámská republika,Afrika,Nuakšott,Členský stát OSN,není,
Mexiko,Spojené státy mexické,Severní Amerika,Ciudad de México,Členský stát OSN,není,Mexiko je federace 31 států a jednoho federálního města.
Mikronésie,Federativní státy Mikronésie,Oceánie,Palikir,Členský stát OSN,není,"Mikronésie je federací čtyř spolkových států; Chuuk, Kosrae, Pohnpei a Yap. Přidružený stát USA."
Moldavsko,Moldavská republika,Evropa,Kišiněv,Členský stát OSN,není,"Moldavsko má dvě autonomní oblasti Gagauzsko a Podněstří, které se odtrhlo a vytvořilo de facto samostatný stát."
Monako,Monacké knížectví,Evropa,Monaco-Ville,Členský stát OSN,není,
Mongolsko,Mongolsko,Asie,Ulánbátar,Členský stát OSN,není,
Mosambik,Mosambická republika,Afrika,Maputo,Členský stát OSN,není,
Myanmar (Barma),Republika Myanmarský svaz[4][pozn. 12],Asie,Neipyijto,Členský stát OSN,není,
Namibie,Namibijská republika,Afrika,Windhoek,Členský stát OSN,není,
Nauru,Republika Nauru,Oceánie,žádné,Členský stát OSN,není,
Německo,Spolková republika Německo,Evropa,Berlín,Členský stát OSN,není,Členský stát EU.[pozn. 3] Německo je federace 16 spolkových zemí.
Nepál,Nepálská federativní demokratická republika,Asie,Káthmándú,Členský stát OSN,není,Nepál je federace 7 provincií.
Niger,Nigerská republika,Afrika,Niamey,Členský stát OSN,není,
Nigérie,Nigerijská federativní republika,Afrika,Abuja,Členský stát OSN,není,Nigérie je federace skládající se ze 36 států a jednoho federálního teritoria.
Nikaragua,Nikaragujská republika,Severní Amerika,Managua,Členský stát OSN,není,Nikaragua obsahuje dva autonomní regiony Atlántico Sur a Atlántico Norte.
Nizozemsko,Nizozemské království[pozn. 13],Evropa,Amsterodam (sídlo krále)Haag (sídlo vlády),Členský stát OSN,není,"Členský stát EU.[pozn. 3] Nizozemské království se skládá ze čtyř zemí:  Nizozemsko  Aruba  Curaçao  Svatý Martin (nizozemská část) Ostrovy Bonaire, Saba a Svatý Eustach tvoří Karibské Nizozemsko."
Norsko,Norské království,Evropa,Oslo,Členský stát OSN,není,"Integrální součástí Norska jsou teritoria:  Špicberky jsou součástí Norska, ale mají speciální status kvůli Špicberské dohodě. Ostrov Jan Mayen je integrální součástí Norska. Norskými závislými územími jsou také:  Bouvetův ostrov Ostrov Petra I.[pozn. 2] Země královny Maud[pozn. 2]"
Nový Zéland,Nový Zéland,Oceánie,Wellington,Členský stát OSN,není,Nový Zéland je součástí Commonwealth realm[pozn. 1] a má závislá území: Rossovu dependenci[pozn. 2]  Tokelau Nový Zéland má také zodpovědnost za dva přidružené státy   Cookovy ostrovy  Niue Cookovy ostrovy a Niue mají diplomatické vztahy s 41 respektive 17 členskými státy OSN a jsou členy některých specializovaných agentur OSN.
Omán,Sultanát Omán,Asie,Maskat,Členský stát OSN,není,
Pákistán,Pákistánská islámská republika,Asie,Islámábád,Členský stát OSN,není,"Pákistán je federací čtyř provincií, teritoria hlavního města a kmenových oblastí. Pákistán si nárokuje celý region Kašmíru, kontrolovaný z části Indií a Čínou. Pákistán neanektoval území Kašmíru, která kontroluje. Místo toho je spravuje jako autonomní oblasti Ázád Kašmír a Gilgit-Baltistán."
Palau,Republika Palau,Oceánie,Ngerulmud,Členský stát OSN,není,Přidružený stát USA
Palestina,Stát Palestina,Asie,Rámaláh (administrativní)Východní Jeruzalém (nárokovaný),Pozorovatelský stát OSN člen jedné specializované organizace OSN.,Částečně neuznanáNárokována Izraelem,"Po vyhlášení získal Stát Palestina mezinárodní uznání od 136 států. Vyhlášený stát nemá dohody týkající se jeho hranic a kontrolu nad většinou území, které si nárokuje. Palestinská autonomie je dočasný administrativní orgán zformovaný na základě Dohody z Osla, která má částečnou kontrolu nad Palestinskými územími. V zahraničních vztazích je Palestina reprezentována Organizací pro osvobození Palestiny. Palestinský stát je členskou zemí UNESCO a pozorovatelským státem OSN."
Panama,Panamská republika,Severní Amerika,Panamá,Členský stát OSN,není,
Papua Nová Guinea,Nezávislý stát Papua Nová Guinea,Oceánie,Port Moresby,Členský stát OSN,není,Papua Nová Guinea je součástí Commonwealth realm[pozn. 1] a má jednu autonomní oblast Bougainville.
Paraguay,Paraguayská republika,Jižní Amerika,Asunción,Členský stát OSN,není,
Peru,Peruánská republika,Jižní Amerika,Lima,Členský stát OSN,není,
Pobřeží slonoviny,Republika Pobřeží slonoviny,Afrika,YamoussoukroAbidžan,Členský stát OSN,není,
Polsko,Polská republika,Evropa,Varšava,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Portugalsko,Portugalská republika,Evropa,Lisabon,Členský stát OSN,není,Členský stát EU.[pozn. 3] Součástí země jsou dvě autonomní území: Azory Madeira
Rakousko,Rakouská republika,Evropa,Vídeň,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Rovníková Guinea,Republika Rovníková Guinea,Afrika,Malabo,Členský stát OSN,není,
Rumunsko,Rumunsko,Evropa,Bukurešť,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Rusko,Ruská federace,"Evropa, Asie",Moskva,Členský stát OSN,není,Rusko je federace 85 subjektů a také vytvořilo společné soustátí s Běloruskem. V roce 2014 anektovalo ukrajinská území na poloostrově Krym pod názvem Republika Krym a Sevastopol.
Rwanda,Rwandská republika,Afrika,Kigali,Členský stát OSN,není,
Řecko,Řecká republika,Evropa,Athény,Členský stát OSN,není,Členský stát EU.[pozn. 3] Hora Athos je autonomní částí Řecka spolu spravovanou mezinárodní „Svatou komunitou“ na hoře a civilním guvernérem jmenovaným řeckou vládou.
Salvador,Salvadorská republika,Severní Amerika,San Salvador,Členský stát OSN,není,
Samoa,Nezávislý stát Samoa,Oceánie,Apia,Členský stát OSN,není,
San Marino,Republika San Marino,Evropa,San Marino,Členský stát OSN,není,
Saúdská Arábie,Království Saúdská Arábie,Asie,Rijád,Členský stát OSN,není,
Senegal,Senegalská republika,Afrika,Dakar,Členský stát OSN,není,
Severní Korea,Korejská lidově demokratická republika,Asie,Pchjongjang,Členský stát OSN,Nárokovaná Jižní Koreou,Neuznaná Jižní Koreou a Japonskem.[pozn. 9]
Severní Makedonie,Republika Severní Makedonie,Evropa,Skopje,Členský stát OSN,není,"Do února 2019 používal stát názvu Makedonie, formálně Makedonská republika, mezi členské státy OSN přijat jako Bývalá jugoslávská republika Makedonie."
Seychely,Seychelská republika,Afrika,Victoria,Členský stát OSN,není,
Sierra Leone,Republika Sierra Leone,Afrika,Freetown,Členský stát OSN,není,
Singapur,Singapurská republika,Asie,Singapur,Členský stát OSN,není,
Slovensko,Slovenská republika,Evropa,Bratislava,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Slovinsko,Slovinská republika,Evropa,Lublaň,Členský stát OSN,není,Členský stát EU.[pozn. 3]
Somálsko,Somálská federativní republika,Afrika,Mogadišo,Členský stát OSN,není,"Somálská federální vláda v současnosti neovládá celé území země. Puntland a Galmudug se prohlásili autonomními oblastmi Somálska, zatímco Somaliland se zformoval jako de facto nezávislý stát."
Spojené arabské emiráty[pozn. 14],Spojené arabské emiráty,Asie,Abú Zabí,Členský stát OSN,není,Spojené arabské emiráty jsou federací sedmi emirátů
Spojené království[pozn. 15],Spojené království Velké Británie a Severního Irska,Evropa,Londýn,Členský stát OSN,není,"Spojené království je Commonwealth realm[pozn. 1] skládající se ze čtyř zemí: Anglie, Severní Irsko, Skotsko a Wales. Spojené království má následující zámořská teritoria: Akrotiri a Dekelia  Anguilla  Bermudy Britské antarktické území[pozn. 2]  Britské indickooceánské území  Britské Panenské ostrovy  Falklandy  Gibraltar  Jižní Georgie a Jižní Sandwichovy ostrovy  Kajmanské ostrovy  Montserrat  Pitcairnovy ostrovy Svatá Helena, Ascension a Tristan da Cunha  Turks a Caicos Britský panovník je suverénem tří samosprávných Korunní dependencí:   Guernsey  Man  Jersey"
